Breadcrumbs,Product Name,Selling Price,Regular Price,Discount Percentage,Color,Sizes Available,Product URL,data_source_url
Women New Arrivals,Wild In Pink PJ Short Set - Hot Pink,$11.99,$19.99,40% Off,Hot Pink,"S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/wild-in-pink-pj-short-set-hot-pink,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Don't Play With NY Baseball Hat - Camouflage,$7.49,$12.99,40% Off,Camouflage,,https://www.fashionnova.com/products/dont-play-with-ny-baseball-hat-fncolorname-camouflage,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Nova Yoga 2 Pack Grip Socks - Black/Black,$7,$14,40% Off,Black/Black,,https://www.fashionnova.com/products/nova-yoga-2-pack-grip-socks-fncolorname-black-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Angel Energy Halter Organza Mini Dress - LightPink,$29.99,$49.99,40% Off,LightPink,"XS, S, M, L, XL",https://www.fashionnova.com/products/angel-energy-halter-organza-mini-dress-fncolorname-lightpink,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Milena Asymmetrical Textured Midi Dress - White,$20.99,$34.99,40% Off,White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/milena-asymmetrical-textured-midi-dress-fncolorname-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Libby Boxy Crop Zip Hoodie Fleece Sweatshirt - Heather Grey,$10.00,$29.99,DEALS,Heather Grey,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/libby-boxy-crop-zip-hoodie-fleece-sweatshirt-fncolorname-heather-grey,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Veda Floral Mesh Maxi Dress - Pink/combo,$29.99,$49.99,40% Off,Pink/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/veda-floral-mesh-maxi-dress-fncolorname-pink-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Sennia Leopard Lace Trim Flowy 2 Piece Set - Brown/combo,$13.49,$22.99,40% Off,Brown/combo,"XS, S, M, L, XL",https://www.fashionnova.com/products/sennia-leopard-lace-trim-flowy-2-piece-set-fncolorname-brown-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Lights From Above Washed Tee - Brown,$11.99,$19.99,40% Off,Brown,"S/M, L/XL, 1X/2X",https://www.fashionnova.com/products/lights-from-above-washed-tee-fncolorname-brown,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Gentle Soul Faux Leather Crossbody Bag - Black,$13.49,$22.99,40% Off,Black,,https://www.fashionnova.com/products/gentle-soul-faux-leather-crossbody-bag-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Marcy Pleated Mini Skirt Set - Butter Yellow,$14.99,$24.99,40% Off,Butter Yellow,"XS, S, M, L, XL",https://www.fashionnova.com/products/marcy-pleated-mini-skirt-set-fncolorname-butter-yellow,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Zaira Halter Denim Maxi Dress - Medium Wash,$23.99,$39.99,40% Off,"Medium Wash, Dark Wash","XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/zaira-halter-denim-maxi-dress-fncolorname-medium-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Jade One Shoulder Studded Capri Set - Black,$23.99,$39.99,40% Off,Black,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/jade-one-shoulder-studded-capri-set-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,CloudForm™ Scoop Neck Active Halter Top - Brown,$22,$38,40% Off,Brown,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/cloudform-scoop-neck-active-halter-top-fncolorname-brown,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Sienna Slinky Backless Halter Jumpsuit - Olive,$23.99,$39.99,40% Off,Olive,"XS, S, M, L, XL",https://www.fashionnova.com/products/sienna-slinky-backless-halter-jumpsuit-fncolorname-olive,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Editorial Muse Printed Stretch Jeans - Multi Color,$20.99,$34.99,40% Off,Multi Color,"0, 1, 3, 5, 7, 9, 11, 13, 15, 14 Plus, 16 Plus, 18 Plus, 20 Plus, 22 Plus",https://www.fashionnova.com/products/editorial-muse-printed-stretch-jeans-fncolorname-multi-color,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Nhulla Sleeveless Ruched Linen Blazer - Blue,$26.99,$44.99,40% Off,Blue,"XXS, XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/nhulla-sleeveless-ruched-linen-blazer-fncolorname-blue,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Libby Fleece Jogger Sweatpant - Pink,$10.00,$24.99,DEALS,Pink,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/libby-fleece-jogger-sweatpant-fncolorname-pink,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Brazil Scoop Neck Tank - Yellow,$11.99,$19.99,40% Off,Yellow,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/brazil-scoop-neck-tank-fncolorname-yellow,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Hit It Compression Stretch Bootcut Jeans - Dark Wash,$23.99,$39.99,40% Off,Dark Wash,"0, 1, 3, 5, 7, 9, 11, 13, 15, 14 Plus, 16 Plus, 18 Plus, 20 Plus, 22 Plus",https://www.fashionnova.com/products/hit-it-compression-stretch-bootcut-jeans-fncolorname-dark-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Tropic Heat Striped Linen Pant Set - Rust/combo,$23.99,$39.99,40% Off,Rust/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/tropic-heat-striped-linen-pant-set-fncolorname-rust-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Kassandra Belted Denim Midi Dress - White,$29.99,$49.99,40% Off,White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/kassandra-belted-denim-midi-dress-fncolorname-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Baddie Asymmetrical Maxi Dress - Light Blue,$23.99,$39.99,40% Off,Light Blue,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/baddie-asymmetrical-maxi-dress-fncolorname-light-blue,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Janie Low Back Denim Romper - Dark Denim,$17.99,$29.99,40% Off,Dark Denim,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/janie-low-back-denim-romper-dark-denim,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Reanna Strapless Ribbed Capri Set - Sage,$23.99,$39.99,40% Off,Sage,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/reanna-strapless-ribbed-capri-set-fncolorname-sage,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Love Affair Tiered Ruffle Micro Mini Skirt - Ivory,$14.99,$24.99,40% Off,Ivory,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/love-affair-tiered-ruffle-micro-mini-skirt-ivory,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Noahala Floral Heels - Pink/combo,$26.99,$44.99,40% Off,Pink/combo,"5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 10, 11",https://www.fashionnova.com/products/noahala-floral-heels-fncolorname-pink-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Velora Abstract Earrings - Gold,$4.99,$8.99,40% Off,"Gold, Silver",,https://www.fashionnova.com/products/velora-abstract-earrings-fncolorname-gold,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,CloudForm™ Short Sleeve Full Zip Jacket - Pistachio,$28,$48,40% Off,Pistachio,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/cloudform-short-sleeve-full-zip-jacket-pistachio,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Prime Care Belted Uniform Scrub Jumpsuit - Black,$20.99,$34.99,40% Off,Black,"S, M, L, XL, 2X",https://www.fashionnova.com/products/prime-care-belted-uniform-scrub-jumpsuit-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Ocean Views Foldover Striped Linen Top - Blue/combo,$20.99,$34.99,40% Off,Blue/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/ocean-views-foldover-striped-linen-top-fncolorname-blue-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Serenity Sculpted Seamless Bodysuit - Cream,$11.99,$19.99,40% Off,Cream,"S/M, M/L, 1X/2X, 2X/3X",https://www.fashionnova.com/products/serenity-sculpted-seamless-bodysuit-fncolorname-cream,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Natalia Striped Maxi Dress - Kelly Green,$17.99,$29.99,40% Off,Kelly Green,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/natalia-striped-maxi-dress-fncolorname-kelly-green,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Second Skin Double Lined Lace Trim Cami Top - Black,$11.99,$19.99,40% Off,Black,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/second-skin-double-lined-lace-trim-cami-top-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
